 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Operating Profit Rate, Pre-tax net Interest Rate, After-tax net Interest Rate, Non-industry income and expenditure/revenue, Continuous interest rate (after tax), Operating Expense Rate, Research and development expense rate, Cash flow rate, Interest-bearing debt interest rate, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Cash Flow Per Share, Revenue Per Share (Yuan ?), Operating Profit Per Share (Yuan ?), Per Share Net profit before tax (Yuan ?), Realized Sales Gross Profit Growth Rate, Operating Profit Growth Rate, After-tax Net Profit Growth Rate, Regular Net Profit Growth Rate, Continuous Net Profit Growth Rate, Total Asset Growth Rate, Net Value Growth Rate, Total Asset Return Growth Rate Ratio, Cash Reinvestment %, Current Ratio, Quick Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Borrowing dependency, Contingent liabilities/Net worth, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Inventory and accounts receivable/Net value, Total Asset Turnover, Accounts Receivable Turnover, Average Collection Days, Inventory Turnover Rate (times), Fixed Assets Turnover Frequency, Net Worth Turnover Rate (times), Revenue per person, Operating profit per person, Allocation rate per person, Working Capital to Total Assets, Quick Assets/Total Assets, Current Assets/Total Assets, Cash/Total Assets, Quick Assets/Current Liability, Cash/Current Liability, Current Liability to Assets, Operating Funds to Liability, Inventory/Working Capital, Inventory/Current Liability, Current Liabilities/Liability, Working Capital/Equity, Current Liabilities/Equity, Long-term Liability to Current Assets, Retained Earnings to Total Assets, Total income/Total expense, Total expense/Assets, Current Asset Turnover Rate, Quick Asset Turnover Rate, Working capitcal Turnover Rate, Cash Turnover Rate, Cash Flow to Sales, Fixed Assets to Assets, Current Liability to Liability, Current Liability to Equity, Equity to Long-term Liability, Cash Flow to Total Assets, Cash Flow to Liability, CFO to Assets, Cash Flow to Equity, Current Liability to Current Assets, Liability-Assets Flag, Net Income to Total Assets, Total assets to GNP price, No-credit Interval, Gross Profit to Sales, Net Income to Stockholder's Equity, Liability to Equity, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT), Net Income Flag, Equity to Liability,BankruptClass
2273,2209,2050,1396,1402,1942,1893,1756,1079,1819,2779,1208,813,93,1464,1210,1216,1218,786,399,3402,880,936,4075,4536,4105,4110,4110,1043,3574,1685,681,3798,3943,1571,3272,2563,1644,5181,2501,381,3929,3757,4060,235,325,2824,1768,1661,439,5038,2524,1687,5669,6666,5913,4126,5170,3327,4915,834,884,144,3555,6132,4762,1133,4446,4152,5127,6168,5374,2885,3403,2661,1288,3555,4762,1788,2224,2272,827,2216,2426,0,5380,3943,5204,2782,5698,4363,3457,3359,0,2463,0
515,663,608,1029,1046,765,834,876,880,877,738,1170,928,166,0,908,915,916,210,306,2434,173,209,3428,3638,2032,2021,1985,1524,523,1105,556,2135,1467,738,5150,3884,323,4556,3552,3,255,239,5094,77,103,5079,2118,823,206,3300,524,1552,4160,5205,6352,3385,1848,1855,6430,959,5379,4297,4039,6422,6495,1264,1143,982,4658,4795,3238,4649,3029,4284,1304,4039,6495,2969,4173,3797,722,4789,4344,0,877,3399,1752,1870,592,6462,920,822,0,364,0
1799,1817,1635,961,976,1589,1670,1562,1218,1627,2682,0,3303,180,1734,989,995,997,710,1281,3548,733,833,2888,2546,2231,2221,2161,1673,2035,1090,3308,2481,2597,2119,4972,3736,471,3698,3451,206,3568,3467,4560,234,621,1278,725,1489,534,4475,1674,2149,4200,5862,5641,5112,3345,3741,5911,4501,3762,2392,2767,6116,6171,2129,3502,3763,4014,6158,4571,2125,2929,4729,2370,2767,6171,3664,5764,5114,5988,6259,3933,0,4081,3624,3726,1693,5409,6278,4346,4248,0,548,0
784,813,801,763,766,899,959,928,948,983,227,975,1287,281,0,543,550,551,375,555,1063,298,396,4701,3351,178,177,111,1492,2700,759,1265,527,956,261,3968,3019,1188,3138,3077,310,769,844,2624,67,279,3252,328,258,142,2991,696,3882,485,2729,2184,3184,1135,2197,5709,1452,213,1406,4232,476,5595,1150,1248,992,3591,2375,1578,508,3823,5458,2887,4232,5595,1177,5234,4846,1429,5476,6260,0,1047,3218,935,1212,956,5203,306,208,0,1623,0
2999,2967,2918,3251,3259,3173,3474,3341,1423,3378,529,154,5364,145,264,1373,1380,1382,1010,1249,1550,893,1079,1997,2458,2413,2405,2335,937,2832,825,3094,5667,5637,1220,517,491,3716,4165,595,3,3957,4219,1232,87,469,1868,2225,406,111,2716,2426,2780,6589,6166,6027,4929,6325,5477,1316,6697,2196,5652,5706,6133,1091,0,6602,6326,3739,4268,3357,6099,466,5998,2986,5706,1091,3,6122,6455,6678,5800,464,0,6692,2276,5720,6231,6514,662,2414,2316,0,6164,0
2420,2382,2157,3047,3051,2483,2773,2525,1504,2483,1274,1134,5133,98,1472,1244,1251,1254,817,1371,2295,771,979,3958,4690,4754,4754,4768,1222,1772,1874,3480,4123,4072,1214,1480,1315,2892,5172,482,3,3653,3949,2656,105,208,4058,2256,1164,170,2377,1762,744,5205,5080,4726,4760,4819,4435,3482,6557,2861,3700,5649,4615,2985,0,5926,4094,6216,1367,781,4057,3858,4402,1499,5649,2985,3,4818,5073,6776,4593,2079,0,6236,1821,3337,5960,6031,2026,2295,2197,0,4800,0
2289,2280,2173,2295,2314,2273,2319,2200,1176,2256,515,45,3553,64,866,969,975,977,784,967,2588,754,873,4185,4865,4278,4278,4328,1661,3159,1828,2841,4386,4296,1382,3871,2952,1255,3910,2885,3,3636,3625,3116,132,635,1237,1894,618,261,1809,1473,1200,5894,5664,5660,6481,4927,5925,3824,4314,3093,4526,1354,6645,4401,2483,5127,4326,5039,2599,1573,4802,1655,6554,2810,1354,4401,3574,6750,6441,5226,6790,1789,0,5507,1947,4381,4763,6040,5092,3040,2942,0,1734,0
3133,2956,2872,2466,2485,2817,3029,2723,1350,2736,2930,1235,4718,0,1510,1203,1209,1211,967,1072,2502,965,1150,3170,3419,3100,3099,3305,1005,2893,1494,2747,5401,5497,1140,1048,957,3250,6219,8,3,4088,4358,1000,157,1203,344,659,2050,210,3925,2520,279,6710,6779,6735,4874,6157,4863,2701,6312,1656,3691,6078,6651,2255,0,6524,6283,3628,2481,2277,5322,3756,4826,351,6078,2255,3,5501,5840,6350,5242,734,0,6666,1443,5913,5066,6552,1413,1454,1356,0,5413,0
2206,2405,2113,1523,1512,2141,3224,3053,2204,3020,2700,1075,2987,1048,631,1127,1133,1135,839,819,1559,541,949,4324,5220,3544,3537,3738,1701,2109,1604,1818,2037,3274,1234,3971,3020,1187,5742,2310,1014,2622,3872,1570,66,163,4558,1796,1200,123,4823,2525,3447,1971,3106,1627,4687,3814,4579,3015,3216,825,6582,707,2224,3843,3516,5260,6563,583,2172,2602,2735,966,6285,872,707,3843,3685,6099,5631,3774,6287,4457,0,5724,2547,5351,3099,6307,5208,2475,2377,0,1618,0
1961,1957,2000,1295,1304,1655,1683,1666,1161,1707,2284,1401,1973,54,92,1926,1932,1928,893,835,3678,932,968,1816,1837,1771,1759,1599,985,1884,739,1292,1938,2007,1296,3703,2849,1358,2852,1306,1091,4031,3911,4456,224,438,2025,387,1018,418,2898,1307,1170,3176,4507,5099,3012,2042,1900,5967,2746,5265,3654,6626,3644,5653,0,6047,3553,5506,6042,4933,1599,3271,2121,3100,6626,5653,3,1364,1566,3018,1281,4573,0,4919,5189,2106,2544,5358,4899,2815,2717,0,1927,0
673,665,615,611,609,1090,742,722,456,709,2778,0,1828,309,0,386,393,394,264,681,1271,331,307,901,751,306,305,119,1331,408,497,1938,681,684,320,5061,3810,397,1005,4078,3,1003,471,4496,60,201,4150,2128,78,165,2683,876,5172,704,2439,3583,1068,721,572,6250,2331,10,3486,3490,673,6369,1963,1118,578,3549,3891,1227,714,3304,3075,4531,3490,6369,3045,3051,3015,2783,3106,6091,0,738,2891,185,874,473,6369,367,269,0,457,0
2161,2146,2100,3113,3120,2643,2503,2415,893,2449,1221,425,1656,99,606,714,721,722,619,595,1068,577,677,2442,3413,2924,2926,2867,1508,2693,1298,1432,5347,5093,1167,969,889,3318,5816,115,3,2848,2622,3534,93,208,4057,2142,1447,122,2139,1796,542,6563,6029,6334,5282,5899,5269,2442,2116,2850,5751,5532,6323,2048,0,5051,3727,5784,4351,3189,6034,734,1313,863,5532,2048,3,1185,800,1868,1408,790,0,5416,1568,4794,6050,4755,1303,2010,1912,0,5523,0
1338,1192,1255,1785,1768,1635,1435,1392,918,1457,515,1406,1771,169,906,788,795,796,472,612,1216,419,515,1130,1432,1357,1349,1284,1437,941,1129,1323,3631,2865,3179,3159,2487,1720,2012,2699,506,1731,1457,3168,68,279,3260,2232,58,116,1816,1151,4594,3605,2115,2663,3068,3249,3515,2502,1980,4575,5320,806,3804,3035,3210,1986,1963,3452,2688,368,4339,3756,1975,4970,806,3035,3455,2056,2087,1990,2063,2610,0,1951,2682,3428,3724,1959,4229,5783,5685,0,2597,0
931,1067,971,3091,3098,1040,1321,1293,1425,1196,1843,703,2472,0,826,561,568,569,437,616,584,331,495,2252,630,1011,1002,800,886,1231,836,1524,5592,5478,1140,647,609,3598,3752,8,3,997,1295,1290,63,602,1333,2159,200,78,645,885,1436,6354,5453,5303,6342,6194,6321,1162,3396,2487,5813,3537,5692,1009,0,1932,1597,6113,4658,3608,6269,2089,1968,3400,3537,1009,3,2080,1520,2421,2279,540,0,1662,450,4290,6021,1630,838,1454,1356,0,5988,0
463,453,471,868,875,828,758,761,656,809,452,1055,1420,393,0,545,552,553,282,584,1494,262,288,1430,33,359,359,2500,1205,205,378,1082,3393,3103,970,2669,2165,2042,4517,571,3,579,418,3822,92,197,4180,2315,809,147,1826,727,850,5204,5251,5696,3826,3596,2955,5173,1668,4142,4423,6252,5278,4681,0,2986,788,5856,3132,1569,4373,2946,1425,1888,6252,4681,3,1148,1221,1666,1164,2881,0,478,2783,3813,1475,539,3619,1167,1069,0,3207,0
2411,2493,2435,1549,1544,2143,2325,2320,1345,2371,2726,1439,2177,0,75,1233,1240,1242,929,794,2924,790,969,1846,2415,2442,2437,2426,1593,2760,960,1496,3270,3674,1140,3610,2788,1419,5535,8,911,3733,3932,4042,142,353,2600,418,1576,267,3981,2056,753,5635,6496,6522,6492,4137,5368,5876,3138,3025,2609,6115,6265,5550,0,6067,5861,2880,2968,2308,4203,1523,931,806,6115,5550,3,465,764,3526,398,3022,0,5997,6029,5797,3160,6394,4783,1454,1356,0,2043,0
978,1263,1047,1004,1022,1265,1385,1395,1247,1438,62,1228,1084,5,0,906,913,914,503,506,3024,401,535,1288,1088,1284,1276,1174,1519,923,738,1001,4034,4242,1805,4346,3269,938,3069,2265,3,1588,1625,4229,156,431,2072,172,1000,316,4346,1117,4216,5802,6010,5878,5477,4740,4671,4553,1282,2917,3641,1630,6726,5129,2405,3461,2205,4586,1397,801,4019,3990,2387,3497,1630,5129,3694,1995,2163,1213,1833,2172,0,2374,1979,4635,1804,2569,5620,4461,4363,0,1206,0
2001,1962,2087,864,875,1515,1668,1678,1293,1749,2652,1249,3443,751,0,1043,1049,1051,670,886,3138,537,695,1807,2297,1947,1939,1905,1408,2520,846,2869,2730,2917,1444,2071,1750,2457,4089,211,3,2621,2755,1535,217,1256,291,779,1224,347,3961,1380,1520,3343,3922,3560,5469,3430,4799,4195,5005,3860,2896,4931,3082,3725,538,4418,4589,3830,5876,4495,1651,3708,1871,2561,4931,3725,600,1039,1032,5222,1147,3640,0,5019,5644,4070,1465,4769,2810,3330,3232,0,4016,0
494,493,518,1096,1114,956,969,947,900,1010,524,68,414,266,0,333,339,340,279,214,2542,262,289,1041,633,600,596,635,1460,257,160,158,2324,2200,784,5017,3773,434,5103,3596,3,577,421,4928,150,360,2543,2339,1510,351,3528,705,689,4182,5249,5975,5330,2325,3788,6194,403,5019,3987,3441,6179,6322,1653,940,1007,6033,1543,5368,2773,3940,4645,1033,3441,6322,3242,5291,4659,190,5874,4119,0,623,3195,2357,2037,407,6325,911,813,0,501,0
1420,1649,1549,1341,1349,1343,1658,1800,1457,1842,343,20,2605,139,0,817,824,825,629,840,2552,412,623,4949,5476,6115,6118,6207,1495,2657,1777,2383,2764,3657,2246,4905,3689,518,4790,3513,3,1677,2255,3705,100,296,3099,1193,622,275,4111,1192,2618,3583,5239,3941,5205,4180,4455,4478,2964,1674,739,1061,5286,5542,3310,3590,3264,4413,1997,2184,3338,523,5825,1786,1061,5542,4089,6065,5416,3801,6463,3599,0,3648,3339,4443,2651,4774,6205,5119,5021,0,621,0
1495,1233,1365,792,793,1346,1297,1270,1068,1345,2727,1070,925,402,1996,607,614,615,462,369,3403,485,497,3544,5719,1034,1025,1075,1370,1428,1064,438,976,720,3643,4987,3750,457,4301,4065,556,2243,1312,4141,209,654,1180,890,1369,544,5026,1520,1815,1368,5719,4928,487,2103,177,6499,903,5560,935,5200,1754,6445,500,1754,1586,5401,5652,5099,951,2610,2578,1401,5200,6445,1105,2072,2325,690,1744,5747,0,1620,1755,2018,1286,1655,6294,6198,6100,0,532,1
1583,1667,1626,1820,1842,1990,2000,1993,1148,2052,239,1454,1560,333,72,737,744,745,553,595,1059,460,594,4252,5462,5883,5876,5841,1518,2229,1738,1474,4182,4130,2059,2033,1720,2487,4680,1470,666,2037,2019,2442,77,386,2354,2341,492,116,3062,1596,2395,5131,4543,4490,6108,4654,5698,3228,1874,3281,4498,2873,4855,3075,1144,4449,4055,2758,3925,2795,5367,1791,5331,2037,2873,3075,1285,5242,5278,1827,5116,2011,0,3751,5593,5455,3796,3523,2759,4598,4500,0,4067,0
1517,1578,1467,1219,1229,1533,1623,1575,1225,1652,27,1282,4324,174,623,952,958,960,585,1109,2819,503,633,2692,2661,2909,2911,2955,1212,1580,1282,3280,2908,2408,1891,2062,1745,2462,4785,1149,201,2368,2334,3518,157,377,2413,16,1374,278,4788,1760,2255,3752,3099,4038,3595,2513,3125,4384,5987,4940,4854,5566,3491,3850,0,4410,2972,5470,6028,4866,2099,2785,4639,1792,5566,3850,3,5506,5507,6458,5430,3432,0,3924,5366,2454,2328,3680,2797,4234,4136,0,4029,0
2359,2389,2222,2637,2875,3055,3724,3535,2436,3551,58,1225,4794,1065,889,1632,1639,1638,833,847,520,532,924,1512,2655,4204,4185,4240,1362,2935,1757,2055,3058,3866,1164,346,337,3870,5578,228,99,2585,3804,364,29,38,5353,1294,340,38,3961,2659,4717,1635,904,332,523,4362,1710,528,6104,1834,1001,2955,1314,467,0,6380,6734,212,2173,2226,3665,3343,492,1292,2955,467,3,1151,487,4631,1479,3264,0,6086,6234,5033,5356,5360,435,1962,1864,0,6391,0
767,1109,767,1277,1285,1107,1325,1280,1353,1190,521,113,788,526,2411,671,678,679,391,471,2325,330,503,1854,755,4920,4921,2029,1355,1450,1534,827,2799,3066,3469,2648,2150,2057,5353,603,583,993,1357,3106,149,438,2024,367,1490,255,3418,881,690,3774,4568,4275,4391,3490,3649,4727,759,3803,2956,4461,3773,4355,698,1231,1617,6018,6213,5181,2413,3593,2025,1150,4461,4355,869,1529,1545,820,1558,3558,0,1692,5841,2970,2499,1676,3583,5883,5785,0,3243,0
2210,2099,1962,2300,2357,2340,2497,2293,1314,2311,480,30,3337,488,1452,1471,1478,1480,724,802,2097,681,842,1760,1963,2164,2146,2053,1445,1811,886,1707,4818,5039,1143,1049,958,3249,4879,17,127,3354,3475,2890,103,197,4179,420,1007,134,3305,1960,1728,5833,5765,5018,4210,5696,4354,2614,4959,1892,2940,5510,5127,2185,0,6073,4457,4685,2735,2439,5120,3801,953,1926,5510,2185,3,684,503,4157,914,1338,0,5410,6055,5164,4772,4788,1415,1619,1521,0,5411,0
2120,2086,1985,2082,2105,2514,2786,2657,1476,2651,2880,1173,3951,1028,789,1507,1514,1516,758,1055,1698,659,869,4880,5926,5955,5955,5992,1374,3279,2349,3019,3202,3752,1218,1600,1403,2804,4075,1299,1436,3252,3502,1597,71,256,3500,197,337,115,1945,1656,2051,3684,4200,3351,1997,4203,2045,3529,5599,2720,2113,5045,3176,3086,15,4751,5846,1924,3095,2574,4202,3447,777,2678,5045,3086,121,754,681,5659,904,3101,0,5462,5686,5877,4358,5082,2187,2216,2118,0,4639,0
2512,1991,2343,3393,3404,3204,3473,3155,1304,3197,864,1177,5347,37,1576,2188,2195,2194,913,1404,1565,915,1075,2373,2853,2679,2673,2597,1398,1236,1205,2024,3366,4277,1141,347,339,3868,457,13,3,4008,4224,90,40,1105,448,1472,2378,47,2822,2481,6541,1931,1408,501,5244,4807,6020,664,6628,1032,313,3795,1493,578,0,4196,5649,1914,1334,1812,3528,1841,6228,6722,3795,578,3,5634,6287,6319,5234,2910,0,5165,6785,676,6409,4228,438,1546,1448,0,6388,0
1249,1164,1286,2427,2446,1625,1315,1283,809,1507,1231,1054,1814,298,2141,808,815,816,491,642,1751,448,497,3372,5764,1558,1512,5910,1327,1270,1255,1649,2866,2785,3618,4429,3328,879,3312,3517,482,1927,1315,4020,68,93,5154,2390,247,163,2571,1235,3622,3361,3761,3332,931,3580,978,3850,2052,3694,2922,997,4412,4781,3252,1829,1596,5381,3064,2144,3910,3249,1366,3397,997,4781,3919,1398,1692,2216,1169,3475,0,1633,4521,3225,4990,1653,5710,6169,6071,0,1116,0
1714,2048,1610,2966,2970,2546,2891,2754,1572,2386,1097,219,3779,0,719,1694,1701,1699,630,913,1244,588,799,3314,3984,5788,5794,2882,1714,3561,2106,2397,3066,3003,1148,929,853,3354,4040,8,3,2811,3145,594,62,1264,284,2351,197,80,2397,1806,3786,2799,2336,1960,3016,3578,3500,2441,5498,3895,3514,6109,2184,2032,0,4509,4439,4050,3098,1946,4103,3895,4621,2965,6109,2032,3,4207,4741,4727,3972,3255,0,4971,4764,3170,5846,4259,1243,1761,1663,0,5583,0
2273,2350,2174,783,783,1226,2681,2574,2237,2626,2825,1339,2476,221,675,1949,1955,1952,978,817,2706,375,1070,2176,1138,3884,3925,3749,1580,2564,1692,1421,2928,3743,1227,2001,1695,2512,6146,512,933,1362,4212,2275,97,316,2904,1191,1880,142,4465,1068,724,3434,4479,3346,4722,4158,4278,3803,3520,2274,1312,4195,3119,3444,0,5617,6162,1565,1818,1792,3399,186,3537,374,4195,3444,3,3600,3725,3286,3505,3408,0,5706,5238,5026,1252,5618,2719,2423,2325,0,4107,0
595,666,685,1069,1086,993,955,978,814,1023,437,1428,2671,169,0,279,286,287,360,753,1515,307,371,931,1390,834,831,860,1290,615,871,2721,1269,1101,657,4205,3177,1030,1163,2644,3,824,704,3802,108,429,2082,2297,199,235,2289,812,3469,1759,2885,3855,4661,1159,3334,5816,3835,6085,3802,4085,2038,5749,1469,601,1102,5771,731,5127,1421,3058,2866,4839,4085,5749,1980,2831,2843,4707,2804,5392,0,800,3446,1455,1964,712,5467,796,698,0,1359,0
1597,1577,1494,899,907,1319,1494,1422,1304,1485,2859,1056,2543,472,1744,852,859,860,577,755,3513,491,659,3172,3456,4407,4408,4058,1321,2421,1442,2360,3553,3051,2081,3295,2579,1628,3800,1142,3,2259,2499,4289,294,913,684,384,1180,550,4241,1184,1304,5066,4305,5227,3751,3366,3152,4613,3400,4457,5077,2973,5491,4596,1634,4081,2613,5925,5824,4742,1803,2711,3812,2759,2973,4596,2306,5129,4884,3751,5231,2694,0,3661,5078,2809,1549,3828,4390,4373,4275,0,2436,0
2460,2288,2499,2886,2901,2851,2919,2898,1126,3019,564,70,2994,155,0,384,391,392,637,727,663,528,670,5287,5954,5575,5590,5914,64,3517,2691,2089,2695,1242,1663,3553,2748,1459,1167,3017,3,2559,2570,2612,66,450,1959,2191,5,122,738,1437,4132,3088,2781,3055,3920,2716,3603,3802,3672,4747,4193,1582,3442,4204,2918,656,5405,2768,4010,2389,4356,411,5489,5617,1582,4204,3369,5104,4805,4220,5245,3676,0,5360,2882,3504,5743,5801,4706,3872,3774,0,2120,0
2516,2465,2374,2246,2268,2547,2609,2476,1191,2521,92,1398,3953,929,910,1171,1177,1179,778,943,2017,733,866,4536,4834,5169,5174,5069,1648,2921,2164,2771,4320,4707,1162,1639,1430,2777,3738,29,616,3572,3586,2655,118,317,2893,320,504,164,2709,1911,2271,5516,5809,4980,6082,5313,5615,3368,5508,1865,2082,4432,5047,2980,0,5296,5389,3801,2450,2289,4690,1286,5579,3034,4432,2980,3,5875,5903,5578,5731,1860,0,5893,5121,5515,4673,5687,2241,1943,1845,0,4585,0
3312,3134,3145,2726,2731,3043,3284,3145,1320,3196,2816,1269,4833,0,422,2275,2282,2281,1355,1542,3792,1233,1517,4757,5018,5008,5012,5049,319,4108,2771,3506,4447,4817,1140,2202,1843,2364,5616,8,3,4420,4781,2888,198,481,1805,791,1741,320,4842,2861,1271,6389,6786,6671,6687,5503,6076,4735,6378,1569,1605,6621,6542,4149,0,6802,6597,3629,1879,1977,4499,1678,6297,936,6621,4149,3,6720,6536,6770,6718,1724,0,6805,6634,5832,5498,6797,2989,1482,1384,0,3837,0
1783,1880,1804,3361,3374,2545,2595,2567,1172,2600,1640,497,4157,113,276,691,698,699,577,761,638,480,632,4349,5996,6111,6113,6138,1392,3051,1983,2567,5417,4866,1508,899,828,3379,4823,586,3,2187,2226,2215,58,282,3228,2087,347,83,1498,1537,1489,6316,5403,5432,5512,5966,5700,1668,5578,2744,5757,3459,5779,1467,485,4255,3532,5404,4835,3758,6337,1553,3407,2089,3459,1467,620,3296,3589,4790,3219,718,0,4790,2060,4662,6371,4066,1199,3478,3380,0,5627,0
1654,1830,1630,1860,1883,1867,2170,2098,1460,2121,410,1479,1620,0,597,1144,1150,1152,614,595,1615,489,677,3545,4620,4342,4325,4319,1400,1946,1553,1189,4403,4662,1149,978,898,3309,3362,8,618,2261,2620,1397,94,467,1873,906,283,125,2987,1484,3682,4156,3647,2665,3474,5327,4271,1669,1970,2045,2554,3067,3326,1508,0,4638,4276,3946,698,570,3867,3654,3156,3650,3067,1508,3,3193,3371,1802,3140,1772,0,4709,3246,4394,3867,4020,1316,1774,1676,0,5510,0
2592,2354,2547,3541,3549,3210,3588,3417,1769,3475,1397,0,4271,182,495,1312,1319,1322,803,816,719,642,846,2221,2514,2818,2822,2738,1392,1668,1320,1306,2471,3731,1392,1071,978,3229,1356,916,3,3201,3501,165,41,741,982,1855,2406,55,4819,2904,6676,1646,1529,538,3526,4175,4654,1113,5207,758,6535,1533,1408,1111,2957,5740,5251,4159,1405,2002,2857,664,1901,5899,1533,1111,1627,2271,1933,4512,2425,3946,0,5932,6711,4016,6571,5492,1448,3099,3001,0,5378,0
1788,1814,1680,1680,1617,1795,1755,1651,1088,1719,184,1397,2631,449,1320,690,697,698,597,812,2684,587,682,4052,5031,3894,3899,3889,1584,3109,1436,2835,2736,2514,2005,3381,2634,1573,5814,772,3,2905,2584,4369,181,418,2152,46,1873,337,4019,1723,467,4433,4811,5526,4555,2704,3320,5658,3947,4768,4304,5544,4876,5323,106,3636,3116,5476,424,5160,2655,3594,5184,580,5544,5323,284,5970,5603,4496,6074,3631,0,4178,2662,2622,3482,4424,4498,4312,4214,0,2328,0
1595,1636,1512,1243,1249,1861,1677,1589,943,1647,2321,1358,3411,670,1309,945,951,953,578,881,2780,630,654,1579,2195,2596,2591,2182,1397,2534,1139,2595,3549,4226,1303,2044,1730,2477,4792,492,3,3147,2455,2606,177,455,1937,1041,1211,286,4991,2426,2907,4971,6110,5090,6302,4854,5544,4495,5102,1355,746,6508,4666,3925,0,3542,3199,5026,6203,5366,2830,680,5864,1790,6508,3925,3,6542,6366,5319,6513,2698,0,3965,5326,5433,2394,3714,2771,2715,2617,0,4055,0
1750,1510,1664,1792,1831,1528,1895,1932,1513,1919,692,1336,1265,289,0,749,756,757,514,563,745,380,571,5021,5411,5394,5403,5523,1641,4199,2226,1330,3734,3301,2521,2227,1859,2348,2304,1471,317,1413,1758,2885,58,164,4546,2161,46,108,520,998,2551,4199,3264,3516,4771,3898,4615,3074,1462,4011,4774,2222,3962,3042,1351,2380,3374,2611,4466,3099,5518,1211,6432,4446,2222,3042,1372,6181,6010,1493,6144,2497,0,3002,2282,5516,3737,2830,3032,5241,5143,0,3794,0
2274,2339,2293,610,609,736,3321,3222,2437,3336,322,0,844,397,134,1931,1937,1934,1036,487,1766,212,1054,2225,109,4925,4925,5023,1672,3000,2058,1034,3842,4278,1905,3234,2538,1669,4368,2260,1747,376,4173,1014,50,364,2512,728,209,87,2589,579,3862,2683,2068,1091,4396,4923,5288,1010,1304,1934,1680,188,2814,1745,3481,5593,6024,1651,2787,2586,4538,1202,6157,2395,188,1745,3203,5621,5352,1299,5728,2378,0,5508,5217,5175,867,5819,4317,4343,4245,0,2509,0
794,505,609,2748,2759,493,646,573,1020,569,1904,687,685,175,0,550,557,558,295,463,691,226,355,1256,196,304,304,310,1385,575,392,879,639,1168,822,2983,2372,1835,1344,2374,492,416,639,1257,51,364,2507,77,2,84,582,662,3533,672,2128,1375,3952,1456,3341,4482,720,88,1264,3287,659,4367,2201,1028,978,5977,2329,1766,659,546,1097,5215,3287,4367,1775,1383,1492,735,1384,6138,0,609,719,1922,5536,654,4017,909,811,0,2809,0
1511,1033,1487,236,236,337,946,990,2195,3561,1001,0,2429,133,0,555,562,563,516,630,53,316,484,149,2518,853,825,4737,1369,1145,1050,1552,73,630,96,864,800,3407,4161,1268,3,888,1240,38,9,697,1082,1801,2371,12,2972,172,6534,254,270,64,2203,494,2817,2273,3654,689,6524,6086,395,1875,0,1831,1468,1779,4473,3879,30,1985,6186,2833,6086,1875,3,4062,4573,2723,3811,6743,0,1501,6675,6513,246,1505,1157,160,62,0,5669,0
2972,2780,2899,3509,3517,3344,3669,3503,1297,3519,169,1374,5546,388,290,1919,1925,1921,1047,1169,1139,956,911,4238,4381,4213,4212,4252,1342,1215,1975,3257,6060,6026,1179,17,24,4183,1650,8,3,4075,4308,599,49,267,3371,2383,2421,53,895,2041,4886,5756,4308,3066,6222,6752,6713,77,6812,1314,5683,5831,4210,76,0,6690,6632,1305,4284,3635,6257,2191,4163,5898,5831,76,3,3826,5794,6699,3492,70,0,6588,2542,256,6536,6027,35,2134,2036,0,6791,0
1015,1105,998,124,123,313,1333,1308,2360,1338,608,68,240,185,0,231,237,238,453,476,462,188,495,4005,3455,4873,4878,4860,1387,1437,2013,586,2146,2410,3220,1234,1121,3086,3840,922,394,299,1299,1005,76,764,936,378,282,103,3120,135,3782,1842,1464,1169,4781,2489,4937,2320,218,4876,3340,3522,1559,2081,543,230,1747,3697,6231,5121,1991,531,3736,3096,3522,2081,351,3748,4066,390,3570,4333,0,1744,1214,2437,128,1695,1676,5869,5771,0,5150,0
1121,1080,1180,2639,2654,1063,1246,1296,1271,1355,1641,519,1707,0,0,469,476,477,457,607,1168,327,478,1884,4673,4929,4929,4933,1488,1422,1656,1609,3249,2886,1140,2423,2000,2207,2535,8,3,972,1217,3594,101,342,2670,2222,269,155,1038,885,1529,4390,3730,4552,4197,3086,3585,4410,2162,4587,4865,4355,4268,4030,0,1411,1628,6320,2551,543,4009,3829,4440,3904,4355,4030,3,4629,4608,2111,4550,3044,0,1734,176,2600,5359,1706,3301,1454,1356,0,3525,0
3042,2747,2862,2806,2820,2960,3191,2947,1360,3005,203,1361,4659,26,1084,1597,1604,1604,931,1175,1942,877,1060,4512,4716,4714,4717,4740,9,3723,2271,2692,4486,4729,1188,1067,974,3233,2061,546,3,3922,4171,1813,101,342,2668,213,166,133,963,1580,2527,5269,5022,4331,6247,5319,5965,2681,6264,2324,3226,5751,4437,2253,0,5829,6195,2586,3043,2496,5055,1727,6110,4921,5751,2253,3,6227,6322,6282,6024,1679,0,6297,2821,6286,5625,5988,1444,2155,2057,0,5382,0
